danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,cluster
0.431,0.617,0,-3.125,0,0.0496,0.53,0.00553,0.122,0.873,98.167,audio_features,5GZq8P4Iy2smHngL07Pcuo,spotify:track:5GZq8P4Iy2smHngL07Pcuo,https://api.spotify.com/v1/tracks/5GZq8P4Iy2smHngL07Pcuo,https://api.spotify.com/v1/audio-analysis/5GZq8P4Iy2smHngL07Pcuo,128893,4,14
0.219,0.952,2,-3.621,1,0.176,5.1e-05,0.0989,0.157,0.172,112.886,audio_features,3CkjLJYnnyOtGk4Jx4iYS4,spotify:track:3CkjLJYnnyOtGk4Jx4iYS4,https://api.spotify.com/v1/tracks/3CkjLJYnnyOtGk4Jx4iYS4,https://api.spotify.com/v1/audio-analysis/3CkjLJYnnyOtGk4Jx4iYS4,176307,1,11
0.452,0.873,9,-4.867,1,0.0613,0.000519,0.0,0.0592,0.433,80.473,audio_features,1TDk2Jmi4dVZhm2dum3Jim,spotify:track:1TDk2Jmi4dVZhm2dum3Jim,https://api.spotify.com/v1/tracks/1TDk2Jmi4dVZhm2dum3Jim,https://api.spotify.com/v1/audio-analysis/1TDk2Jmi4dVZhm2dum3Jim,222027,4,9
0.515,0.864,2,-5.384,1,0.0478,0.00182,7.32e-05,0.108,0.232,153.966,audio_features,77eRSoQbDt4qHlAhUqovmy,spotify:track:77eRSoQbDt4qHlAhUqovmy,https://api.spotify.com/v1/tracks/77eRSoQbDt4qHlAhUqovmy,https://api.spotify.com/v1/audio-analysis/77eRSoQbDt4qHlAhUqovmy,283160,4,11
0.603,0.82,4,-6.145,0,0.051,0.000506,2.34e-06,0.13,0.408,103.907,audio_features,6VNRBXV7lQz9VAHhsfYkrE,spotify:track:6VNRBXV7lQz9VAHhsfYkrE,https://api.spotify.com/v1/tracks/6VNRBXV7lQz9VAHhsfYkrE,https://api.spotify.com/v1/audio-analysis/6VNRBXV7lQz9VAHhsfYkrE,260181,4,8
0.355,0.867,2,-3.144,1,0.0738,0.00664,0.554,0.323,0.295,142.849,audio_features,4RvmQ5qbP5PxgJD0BN4EZK,spotify:track:4RvmQ5qbP5PxgJD0BN4EZK,https://api.spotify.com/v1/tracks/4RvmQ5qbP5PxgJD0BN4EZK,https://api.spotify.com/v1/audio-analysis/4RvmQ5qbP5PxgJD0BN4EZK,180133,4,19
0.487,0.898,5,-4.436,1,0.038,0.00305,0.0,0.26,0.597,135.331,audio_features,429IbFR4yp2J81CeTwF5iY,spotify:track:429IbFR4yp2J81CeTwF5iY,https://api.spotify.com/v1/tracks/429IbFR4yp2J81CeTwF5iY,https://api.spotify.com/v1/audio-analysis/429IbFR4yp2J81CeTwF5iY,220027,4,17
0.543,0.696,7,-4.572,1,0.0426,0.601,0.215,0.384,0.849,92.15,audio_features,3xRzUblYGZhVs52fMjii7R,spotify:track:3xRzUblYGZhVs52fMjii7R,https://api.spotify.com/v1/tracks/3xRzUblYGZhVs52fMjii7R,https://api.spotify.com/v1/audio-analysis/3xRzUblYGZhVs52fMjii7R,253747,4,7
0.481,0.94,7,-5.204,1,0.066,0.000891,0.0,0.0939,0.66,96.493,audio_features,3mNecsYFb6LQg7822DPXCP,spotify:track:3mNecsYFb6LQg7822DPXCP,https://api.spotify.com/v1/tracks/3mNecsYFb6LQg7822DPXCP,https://api.spotify.com/v1/audio-analysis/3mNecsYFb6LQg7822DPXCP,189333,4,18
0.519,0.666,1,-9.732,1,0.0645,0.101,0.346,0.118,0.274,146.467,audio_features,5HkLVhdVOifwVzQhuh51dL,spotify:track:5HkLVhdVOifwVzQhuh51dL,https://api.spotify.com/v1/tracks/5HkLVhdVOifwVzQhuh51dL,https://api.spotify.com/v1/audio-analysis/5HkLVhdVOifwVzQhuh51dL,141160,4,11
0.64,0.864,7,-6.576,1,0.0314,0.00832,0.0,0.123,0.701,102.026,audio_features,42et6fnHCw1HIPSrdPprMl,spotify:track:42et6fnHCw1HIPSrdPprMl,https://api.spotify.com/v1/tracks/42et6fnHCw1HIPSrdPprMl,https://api.spotify.com/v1/audio-analysis/42et6fnHCw1HIPSrdPprMl,268360,4,18
0.526,0.862,2,-6.003,1,0.0905,0.0144,0.0597,0.229,0.528,90.052,audio_features,5cKhVlFn0Kuq68V56lSLvW,spotify:track:5cKhVlFn0Kuq68V56lSLvW,https://api.spotify.com/v1/tracks/5cKhVlFn0Kuq68V56lSLvW,https://api.spotify.com/v1/audio-analysis/5cKhVlFn0Kuq68V56lSLvW,195200,4,13
0.53,0.707,10,-5.516,1,0.203,0.104,0.0,0.105,0.696,109.827,audio_features,7gevvAspxft2qQmcvJjNBH,spotify:track:7gevvAspxft2qQmcvJjNBH,https://api.spotify.com/v1/tracks/7gevvAspxft2qQmcvJjNBH,https://api.spotify.com/v1/audio-analysis/7gevvAspxft2qQmcvJjNBH,203453,4,18
0.765,0.516,7,-12.099,1,0.0334,0.167,0.0,0.0723,0.936,115.248,audio_features,0i7O5MtSTXvR4BEY7stpjF,spotify:track:0i7O5MtSTXvR4BEY7stpjF,https://api.spotify.com/v1/tracks/0i7O5MtSTXvR4BEY7stpjF,https://api.spotify.com/v1/audio-analysis/0i7O5MtSTXvR4BEY7stpjF,231800,4,18
0.677,0.871,1,-7.997,1,0.0281,0.284,3.02e-05,0.405,0.898,98.446,audio_features,5YLVhkyMsAuYKOKihHJo21,spotify:track:5YLVhkyMsAuYKOKihHJo21,https://api.spotify.com/v1/tracks/5YLVhkyMsAuYKOKihHJo21,https://api.spotify.com/v1/audio-analysis/5YLVhkyMsAuYKOKihHJo21,268893,4,2
0.633,0.933,9,-2.795,1,0.0821,0.125,0.671,0.0514,0.611,107.483,audio_features,4z2fha9ZhIjU2PisUO1v1v,spotify:track:4z2fha9ZhIjU2PisUO1v1v,https://api.spotify.com/v1/tracks/4z2fha9ZhIjU2PisUO1v1v,https://api.spotify.com/v1/audio-analysis/4z2fha9ZhIjU2PisUO1v1v,210907,4,19
0.67,0.595,1,-18.148,1,0.123,0.581,0.0,0.158,0.852,116.421,audio_features,2W93VKSfWw1evp7FSbHNd1,spotify:track:2W93VKSfWw1evp7FSbHNd1,https://api.spotify.com/v1/tracks/2W93VKSfWw1evp7FSbHNd1,https://api.spotify.com/v1/audio-analysis/2W93VKSfWw1evp7FSbHNd1,175253,4,2
0.676,0.828,0,-5.799,1,0.0454,0.0242,0.0105,0.364,0.669,122.228,audio_features,2SDx0PooHZI1SQKR0y44bs,spotify:track:2SDx0PooHZI1SQKR0y44bs,https://api.spotify.com/v1/tracks/2SDx0PooHZI1SQKR0y44bs,https://api.spotify.com/v1/audio-analysis/2SDx0PooHZI1SQKR0y44bs,187733,4,13
0.666,0.791,6,-5.125,0,0.0279,0.0156,0.00509,0.0938,0.855,121.98,audio_features,3us8wMbZzKbIGXVR6LJ28A,spotify:track:3us8wMbZzKbIGXVR6LJ28A,https://api.spotify.com/v1/tracks/3us8wMbZzKbIGXVR6LJ28A,https://api.spotify.com/v1/audio-analysis/3us8wMbZzKbIGXVR6LJ28A,225267,4,5
0.309,0.649,7,-8.994,1,0.035,0.0158,0.00591,0.367,0.312,166.915,audio_features,7EZC6E7UjZe63f1jRmkWxt,spotify:track:7EZC6E7UjZe63f1jRmkWxt,https://api.spotify.com/v1/tracks/7EZC6E7UjZe63f1jRmkWxt,https://api.spotify.com/v1/audio-analysis/7EZC6E7UjZe63f1jRmkWxt,306440,4,3
0.468,0.692,2,-4.015,1,0.0295,0.0202,2.39e-06,0.523,0.561,78.009,audio_features,3omXshBamrREltcf24gYDC,spotify:track:3omXshBamrREltcf24gYDC,https://api.spotify.com/v1/tracks/3omXshBamrREltcf24gYDC,https://api.spotify.com/v1/audio-analysis/3omXshBamrREltcf24gYDC,200360,4,13
0.585,0.776,5,-5.898,1,0.0459,0.0572,7.74e-06,0.3,0.427,77.987,audio_features,5xEM5hIgJ1jjgcEBfpkt2F,spotify:track:5xEM5hIgJ1jjgcEBfpkt2F,https://api.spotify.com/v1/tracks/5xEM5hIgJ1jjgcEBfpkt2F,https://api.spotify.com/v1/audio-analysis/5xEM5hIgJ1jjgcEBfpkt2F,244507,4,9
0.43,0.665,4,-9.681,1,0.139,0.406,0.000108,0.409,0.542,160.859,audio_features,3V3MQOlQqq8SZ7BcoN4QCn,spotify:track:3V3MQOlQqq8SZ7BcoN4QCn,https://api.spotify.com/v1/tracks/3V3MQOlQqq8SZ7BcoN4QCn,https://api.spotify.com/v1/audio-analysis/3V3MQOlQqq8SZ7BcoN4QCn,266240,4,17
0.505,0.833,0,-4.632,1,0.0475,0.00772,7.9e-05,0.069,0.565,130.121,audio_features,5lN1EH25gdiqT1SFALMAq1,spotify:track:5lN1EH25gdiqT1SFALMAq1,https://api.spotify.com/v1/tracks/5lN1EH25gdiqT1SFALMAq1,https://api.spotify.com/v1/audio-analysis/5lN1EH25gdiqT1SFALMAq1,224333,4,13
0.62,0.573,0,-11.893,1,0.0423,0.271,0.0,0.0607,0.897,81.548,audio_features,0ikz6tENMONtK6qGkOrU3c,spotify:track:0ikz6tENMONtK6qGkOrU3c,https://api.spotify.com/v1/tracks/0ikz6tENMONtK6qGkOrU3c,https://api.spotify.com/v1/audio-analysis/0ikz6tENMONtK6qGkOrU3c,231333,4,2
0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,audio_features,0nrRP2bk19rLc0orkWPQk2,spotify:track:0nrRP2bk19rLc0orkWPQk2,https://api.spotify.com/v1/tracks/0nrRP2bk19rLc0orkWPQk2,https://api.spotify.com/v1/audio-analysis/0nrRP2bk19rLc0orkWPQk2,247427,4,13
